,params,tp,fp,tn,fn,incorrect_preds,precision,recall,f1
10,"{'criterion': 'gini', 'max_depth': None, 'max_features': None, 'min_samples_leaf': 2, 'min_samples_split': 5, 'splitter': 'best'}",5,1,17,1,"{'eo': 'fn', 'nl': 'fp'}",0.8333333333333334,0.8333333333333334,0.8333333333333334
11,"{'criterion': 'gini', 'max_depth': None, 'max_features': None, 'min_samples_leaf': 2, 'min_samples_split': 5, 'splitter': 'random'}",5,3,15,1,"{'eo': 'fn', 'af': 'fp', 'tl': 'fp', 'es': 'fp'}",0.625,0.8333333333333334,0.7142857142857143
12,"{'criterion': 'gini', 'max_depth': None, 'max_features': None, 'min_samples_leaf': 2, 'min_samples_split': 7, 'splitter': 'best'}",5,1,17,1,"{'eo': 'fn', 'nl': 'fp'}",0.8333333333333334,0.8333333333333334,0.8333333333333334
13,"{'criterion': 'gini', 'max_depth': None, 'max_features': None, 'min_samples_leaf': 2, 'min_samples_split': 7, 'splitter': 'random'}",5,3,15,1,"{'eo': 'fn', 'af': 'fp', 'tl': 'fp', 'es': 'fp'}",0.625,0.8333333333333334,0.7142857142857143
14,"{'criterion': 'gini', 'max_depth': None, 'max_features': None, 'min_samples_leaf': 2, 'min_samples_split': 10, 'splitter': 'best'}",5,4,14,1,"{'eo': 'fn', 'nl': 'fp', 'af': 'fp', 'tl': 'fp', 'es': 'fp'}",0.5555555555555556,0.8333333333333334,0.6666666666666667
15,"{'criterion': 'gini', 'max_depth': None, 'max_features': None, 'min_samples_leaf': 2, 'min_samples_split': 10, 'splitter': 'random'}",4,3,15,2,"{'eo': 'fn', 'af': 'fp', 'ia': 'fn', 'tl': 'fp', 'es': 'fp'}",0.5714285714285714,0.6666666666666666,0.6153846153846153
16,"{'criterion': 'gini', 'max_depth': None, 'max_features': None, 'min_samples_leaf': 3, 'min_samples_split': 2, 'splitter': 'best'}",5,4,14,1,"{'eo': 'fn', 'nl': 'fp', 'af': 'fp', 'tl': 'fp', 'es': 'fp'}",0.5555555555555556,0.8333333333333334,0.6666666666666667
17,"{'criterion': 'gini', 'max_depth': None, 'max_features': None, 'min_samples_leaf': 3, 'min_samples_split': 2, 'splitter': 'random'}",5,3,15,1,"{'eo': 'fn', 'af': 'fp', 'tl': 'fp', 'es': 'fp'}",0.625,0.8333333333333334,0.7142857142857143
18,"{'criterion': 'gini', 'max_depth': None, 'max_features': None, 'min_samples_leaf': 3, 'min_samples_split': 5, 'splitter': 'best'}",5,4,14,1,"{'eo': 'fn', 'nl': 'fp', 'af': 'fp', 'tl': 'fp', 'es': 'fp'}",0.5555555555555556,0.8333333333333334,0.6666666666666667
19,"{'criterion': 'gini', 'max_depth': None, 'max_features': None, 'min_samples_leaf': 3, 'min_samples_split': 5, 'splitter': 'random'}",5,3,15,1,"{'eo': 'fn', 'af': 'fp', 'tl': 'fp', 'es': 'fp'}",0.625,0.8333333333333334,0.7142857142857143
20,"{'criterion': 'gini', 'max_depth': None, 'max_features': None, 'min_samples_leaf': 3, 'min_samples_split': 7, 'splitter': 'best'}",5,4,14,1,"{'eo': 'fn', 'nl': 'fp', 'af': 'fp', 'tl': 'fp', 'es': 'fp'}",0.5555555555555556,0.8333333333333334,0.6666666666666667
21,"{'criterion': 'gini', 'max_depth': None, 'max_features': None, 'min_samples_leaf': 3, 'min_samples_split': 7, 'splitter': 'random'}",5,3,15,1,"{'eo': 'fn', 'af': 'fp', 'tl': 'fp', 'es': 'fp'}",0.625,0.8333333333333334,0.7142857142857143
22,"{'criterion': 'gini', 'max_depth': None, 'max_features': None, 'min_samples_leaf': 3, 'min_samples_split': 10, 'splitter': 'best'}",5,4,14,1,"{'eo': 'fn', 'nl': 'fp', 'af': 'fp', 'tl': 'fp', 'es': 'fp'}",0.5555555555555556,0.8333333333333334,0.6666666666666667
23,"{'criterion': 'gini', 'max_depth': None, 'max_features': None, 'min_samples_leaf': 3, 'min_samples_split': 10, 'splitter': 'random'}",4,3,15,2,"{'eo': 'fn', 'af': 'fp', 'ia': 'fn', 'tl': 'fp', 'es': 'fp'}",0.5714285714285714,0.6666666666666666,0.6153846153846153
24,"{'criterion': 'gini', 'max_depth': None, 'max_features': None, 'min_samples_leaf': 4, 'min_samples_split': 2, 'splitter': 'best'}",5,4,14,1,"{'eo': 'fn', 'nl': 'fp', 'af': 'fp', 'tl': 'fp', 'es': 'fp'}",0.5555555555555556,0.8333333333333334,0.6666666666666667
25,"{'criterion': 'gini', 'max_depth': None, 'max_features': None, 'min_samples_leaf': 4, 'min_samples_split': 2, 'splitter': 'random'}",4,3,15,2,"{'eo': 'fn', 'af': 'fp', 'ia': 'fn', 'tl': 'fp', 'es': 'fp'}",0.5714285714285714,0.6666666666666666,0.6153846153846153
26,"{'criterion': 'gini', 'max_depth': None, 'max_features': None, 'min_samples_leaf': 4, 'min_samples_split': 5, 'splitter': 'best'}",5,4,14,1,"{'eo': 'fn', 'nl': 'fp', 'af': 'fp', 'tl': 'fp', 'es': 'fp'}",0.5555555555555556,0.8333333333333334,0.6666666666666667
27,"{'criterion': 'gini', 'max_depth': None, 'max_features': None, 'min_samples_leaf': 4, 'min_samples_split': 5, 'splitter': 'random'}",4,3,15,2,"{'eo': 'fn', 'af': 'fp', 'ia': 'fn', 'tl': 'fp', 'es': 'fp'}",0.5714285714285714,0.6666666666666666,0.6153846153846153
28,"{'criterion': 'gini', 'max_depth': None, 'max_features': None, 'min_samples_leaf': 4, 'min_samples_split': 7, 'splitter': 'best'}",5,4,14,1,"{'eo': 'fn', 'nl': 'fp', 'af': 'fp', 'tl': 'fp', 'es': 'fp'}",0.5555555555555556,0.8333333333333334,0.6666666666666667
29,"{'criterion': 'gini', 'max_depth': None, 'max_features': None, 'min_samples_leaf': 4, 'min_samples_split': 7, 'splitter': 'random'}",4,3,15,2,"{'eo': 'fn', 'af': 'fp', 'ia': 'fn', 'tl': 'fp', 'es': 'fp'}",0.5714285714285714,0.6666666666666666,0.6153846153846153
30,"{'criterion': 'gini', 'max_depth': None, 'max_features': None, 'min_samples_leaf': 4, 'min_samples_split': 10, 'splitter': 'best'}",5,4,14,1,"{'eo': 'fn', 'nl': 'fp', 'af': 'fp', 'tl': 'fp', 'es': 'fp'}",0.5555555555555556,0.8333333333333334,0.6666666666666667
31,"{'criterion': 'gini', 'max_depth': None, 'max_features': None, 'min_samples_leaf': 4, 'min_samples_split': 10, 'splitter': 'random'}",4,3,15,2,"{'eo': 'fn', 'af': 'fp', 'ia': 'fn', 'tl': 'fp', 'es': 'fp'}",0.5714285714285714,0.6666666666666666,0.6153846153846153
32,"{'criterion': 'gini', 'max_depth': None, 'max_features': None, 'min_samples_leaf': 5, 'min_samples_split': 2, 'splitter': 'best'}",5,4,14,1,"{'eo': 'fn', 'nl': 'fp', 'af': 'fp', 'tl': 'fp', 'es': 'fp'}",0.5555555555555556,0.8333333333333334,0.6666666666666667
33,"{'criterion': 'gini', 'max_depth': None, 'max_features': None, 'min_samples_leaf': 5, 'min_samples_split': 2, 'splitter': 'random'}",4,5,13,2,"{'eo': 'fn', 'af': 'fp', 'en': 'fp', 'ia': 'fn', 'id': 'fp', 'tl': 'fp', 'es': 'fp'}",0.4444444444444444,0.6666666666666666,0.5333333333333333
34,"{'criterion': 'gini', 'max_depth': None, 'max_features': None, 'min_samples_leaf': 5, 'min_samples_split': 5, 'splitter': 'best'}",5,4,14,1,"{'eo': 'fn', 'nl': 'fp', 'af': 'fp', 'tl': 'fp', 'es': 'fp'}",0.5555555555555556,0.8333333333333334,0.6666666666666667
35,"{'criterion': 'gini', 'max_depth': None, 'max_features': None, 'min_samples_leaf': 5, 'min_samples_split': 5, 'splitter': 'random'}",4,5,13,2,"{'eo': 'fn', 'af': 'fp', 'en': 'fp', 'ia': 'fn', 'id': 'fp', 'tl': 'fp', 'es': 'fp'}",0.4444444444444444,0.6666666666666666,0.5333333333333333
36,"{'criterion': 'gini', 'max_depth': None, 'max_features': None, 'min_samples_leaf': 5, 'min_samples_split': 7, 'splitter': 'best'}",5,4,14,1,"{'eo': 'fn', 'nl': 'fp', 'af': 'fp', 'tl': 'fp', 'es': 'fp'}",0.5555555555555556,0.8333333333333334,0.6666666666666667
37,"{'criterion': 'gini', 'max_depth': None, 'max_features': None, 'min_samples_leaf': 5, 'min_samples_split': 7, 'splitter': 'random'}",4,5,13,2,"{'eo': 'fn', 'af': 'fp', 'en': 'fp', 'ia': 'fn', 'id': 'fp', 'tl': 'fp', 'es': 'fp'}",0.4444444444444444,0.6666666666666666,0.5333333333333333
38,"{'criterion': 'gini', 'max_depth': None, 'max_features': None, 'min_samples_leaf': 5, 'min_samples_split': 10, 'splitter': 'best'}",5,4,14,1,"{'eo': 'fn', 'nl': 'fp', 'af': 'fp', 'tl': 'fp', 'es': 'fp'}",0.5555555555555556,0.8333333333333334,0.6666666666666667
39,"{'criterion': 'gini', 'max_depth': None, 'max_features': None, 'min_samples_leaf': 5, 'min_samples_split': 10, 'splitter': 'random'}",4,5,13,2,"{'eo': 'fn', 'af': 'fp', 'en': 'fp', 'ia': 'fn', 'id': 'fp', 'tl': 'fp', 'es': 'fp'}",0.4444444444444444,0.6666666666666666,0.5333333333333333
40,"{'criterion': 'gini', 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'splitter': 'best'}",3,4,14,3,"{'eo': 'fn', 'nl': 'fp', 'vo': 'fn', 'af': 'fp', 'lfn': 'fn', 'tl': 'fp', 'es': 'fp'}",0.42857142857142855,0.5,0.4615384615384615
41,"{'criterion': 'gini', 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'splitter': 'random'}",3,4,14,3,"{'eo': 'fn', 'vi': 'fp', 'oc': 'fp', 'ia': 'fn', 'da': 'fp', 'tl': 'fp', 'avk': 'fn'}",0.42857142857142855,0.5,0.4615384615384615
42,"{'criterion': 'gini', 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 5, 'splitter': 'best'}",4,4,14,2,"{'eo': 'fn', 'nl': 'fp', 'vo': 'fn', 'af': 'fp', 'tl': 'fp', 'es': 'fp'}",0.5,0.6666666666666666,0.5714285714285715
43,"{'criterion': 'gini', 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 5, 'splitter': 'random'}",4,4,14,2,"{'eo': 'fn', 'vi': 'fp', 'oc': 'fp', 'da': 'fp', 'tl': 'fp', 'avk': 'fn'}",0.5,0.6666666666666666,0.5714285714285715
44,"{'criterion': 'gini', 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 7, 'splitter': 'best'}",4,4,14,2,"{'eo': 'fn', 'nl': 'fp', 'vo': 'fn', 'af': 'fp', 'tl': 'fp', 'es': 'fp'}",0.5,0.6666666666666666,0.5714285714285715
45,"{'criterion': 'gini', 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 7, 'splitter': 'random'}",4,4,14,2,"{'eo': 'fn', 'vi': 'fp', 'oc': 'fp', 'da': 'fp', 'tl': 'fp', 'avk': 'fn'}",0.5,0.6666666666666666,0.5714285714285715
46,"{'criterion': 'gini', 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 10, 'splitter': 'best'}",5,4,14,1,"{'eo': 'fn', 'nl': 'fp', 'af': 'fp', 'tl': 'fp', 'es': 'fp'}",0.5555555555555556,0.8333333333333334,0.6666666666666667
47,"{'criterion': 'gini', 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 10, 'splitter': 'random'}",4,6,12,2,"{'eo': 'fn', 'fr': 'fp', 'vi': 'fp', 'oc': 'fp', 'en': 'fp', 'da': 'fp', 'tl': 'fp', 'avk': 'fn'}",0.4,0.6666666666666666,0.5
48,"{'criterion': 'gini', 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 2, 'splitter': 'best'}",2,4,14,4,"{'eo': 'fn', 'nl': 'fp', 'af': 'fp', 'ia': 'fn', 'lfn': 'fn', 'tl': 'fp', 'es': 'fp', 'avk': 'fn'}",0.3333333333333333,0.3333333333333333,0.3333333333333333
49,"{'criterion': 'gini', 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 2, 'splitter': 'random'}",4,6,12,2,"{'eo': 'fn', 'is': 'fp', 'vi': 'fp', 'oc': 'fp', 'da': 'fp', 'tl': 'fp', 'es': 'fp', 'avk': 'fn'}",0.4,0.6666666666666666,0.5
50,"{'criterion': 'gini', 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 5, 'splitter': 'best'}",3,4,14,3,"{'eo': 'fn', 'nl': 'fp', 'af': 'fp', 'ia': 'fn', 'tl': 'fp', 'es': 'fp', 'avk': 'fn'}",0.42857142857142855,0.5,0.4615384615384615
51,"{'criterion': 'gini', 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 5, 'splitter': 'random'}",4,3,15,2,"{'eo': 'fn', 'vi': 'fp', 'tl': 'fp', 'es': 'fp', 'avk': 'fn'}",0.5714285714285714,0.6666666666666666,0.6153846153846153
52,"{'criterion': 'gini', 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 7, 'splitter': 'best'}",5,4,14,1,"{'eo': 'fn', 'nl': 'fp', 'af': 'fp', 'tl': 'fp', 'es': 'fp'}",0.5555555555555556,0.8333333333333334,0.6666666666666667
53,"{'criterion': 'gini', 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 7, 'splitter': 'random'}",4,2,16,2,"{'eo': 'fn', 'vi': 'fp', 'tl': 'fp', 'avk': 'fn'}",0.6666666666666666,0.6666666666666666,0.6666666666666666
54,"{'criterion': 'gini', 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 10, 'splitter': 'best'}",5,4,14,1,"{'eo': 'fn', 'nl': 'fp', 'af': 'fp', 'tl': 'fp', 'es': 'fp'}",0.5555555555555556,0.8333333333333334,0.6666666666666667
55,"{'criterion': 'gini', 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 10, 'splitter': 'random'}",4,6,12,2,"{'eo': 'fn', 'fr': 'fp', 'vi': 'fp', 'oc': 'fp', 'en': 'fp', 'da': 'fp', 'tl': 'fp', 'avk': 'fn'}",0.4,0.6666666666666666,0.5
56,"{'criterion': 'gini', 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 3, 'min_samples_split': 2, 'splitter': 'best'}",5,4,14,1,"{'eo': 'fn', 'nl': 'fp', 'af': 'fp', 'tl': 'fp', 'es': 'fp'}",0.5555555555555556,0.8333333333333334,0.6666666666666667
57,"{'criterion': 'gini', 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 3, 'min_samples_split': 2, 'splitter': 'random'}",5,5,13,1,"{'eo': 'fn', 'nl': 'fp', 'vi': 'fp', 'id': 'fp', 'tl': 'fp', 'es': 'fp'}",0.5,0.8333333333333334,0.625
58,"{'criterion': 'gini', 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 3, 'min_samples_split': 5, 'splitter': 'best'}",5,4,14,1,"{'eo': 'fn', 'nl': 'fp', 'af': 'fp', 'tl': 'fp', 'es': 'fp'}",0.5555555555555556,0.8333333333333334,0.6666666666666667
59,"{'criterion': 'gini', 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 3, 'min_samples_split': 5, 'splitter': 'random'}",5,5,13,1,"{'eo': 'fn', 'nl': 'fp', 'vi': 'fp', 'id': 'fp', 'tl': 'fp', 'es': 'fp'}",0.5,0.8333333333333334,0.625
60,"{'criterion': 'gini', 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 3, 'min_samples_split': 7, 'splitter': 'best'}",5,4,14,1,"{'eo': 'fn', 'nl': 'fp', 'af': 'fp', 'tl': 'fp', 'es': 'fp'}",0.5555555555555556,0.8333333333333334,0.6666666666666667
61,"{'criterion': 'gini', 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 3, 'min_samples_split': 7, 'splitter': 'random'}",5,3,15,1,"{'eo': 'fn', 'vi': 'fp', 'tl': 'fp', 'es': 'fp'}",0.625,0.8333333333333334,0.7142857142857143
62,"{'criterion': 'gini', 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 3, 'min_samples_split': 10, 'splitter': 'best'}",5,4,14,1,"{'eo': 'fn', 'nl': 'fp', 'af': 'fp', 'tl': 'fp', 'es': 'fp'}",0.5555555555555556,0.8333333333333334,0.6666666666666667
63,"{'criterion': 'gini', 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 3, 'min_samples_split': 10, 'splitter': 'random'}",4,3,15,2,"{'eo': 'fn', 'vi': 'fp', 'tl': 'fp', 'es': 'fp', 'avk': 'fn'}",0.5714285714285714,0.6666666666666666,0.6153846153846153
64,"{'criterion': 'gini', 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 4, 'min_samples_split': 2, 'splitter': 'best'}",5,4,14,1,"{'eo': 'fn', 'nl': 'fp', 'af': 'fp', 'tl': 'fp', 'es': 'fp'}",0.5555555555555556,0.8333333333333334,0.6666666666666667
65,"{'criterion': 'gini', 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 4, 'min_samples_split': 2, 'splitter': 'random'}",5,3,15,1,"{'eo': 'fn', 'vi': 'fp', 'tl': 'fp', 'es': 'fp'}",0.625,0.8333333333333334,0.7142857142857143
66,"{'criterion': 'gini', 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 4, 'min_samples_split': 5, 'splitter': 'best'}",5,4,14,1,"{'eo': 'fn', 'nl': 'fp', 'af': 'fp', 'tl': 'fp', 'es': 'fp'}",0.5555555555555556,0.8333333333333334,0.6666666666666667
67,"{'criterion': 'gini', 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 4, 'min_samples_split': 5, 'splitter': 'random'}",5,3,15,1,"{'eo': 'fn', 'vi': 'fp', 'tl': 'fp', 'es': 'fp'}",0.625,0.8333333333333334,0.7142857142857143
68,"{'criterion': 'gini', 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 4, 'min_samples_split': 7, 'splitter': 'best'}",5,4,14,1,"{'eo': 'fn', 'nl': 'fp', 'af': 'fp', 'tl': 'fp', 'es': 'fp'}",0.5555555555555556,0.8333333333333334,0.6666666666666667
69,"{'criterion': 'gini', 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 4, 'min_samples_split': 7, 'splitter': 'random'}",5,3,15,1,"{'eo': 'fn', 'vi': 'fp', 'tl': 'fp', 'es': 'fp'}",0.625,0.8333333333333334,0.7142857142857143
70,"{'criterion': 'gini', 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 4, 'min_samples_split': 10, 'splitter': 'best'}",5,4,14,1,"{'eo': 'fn', 'nl': 'fp', 'af': 'fp', 'tl': 'fp', 'es': 'fp'}",0.5555555555555556,0.8333333333333334,0.6666666666666667
71,"{'criterion': 'gini', 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 4, 'min_samples_split': 10, 'splitter': 'random'}",5,3,15,1,"{'eo': 'fn', 'vi': 'fp', 'tl': 'fp', 'es': 'fp'}",0.625,0.8333333333333334,0.7142857142857143
72,"{'criterion': 'gini', 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'min_samples_split': 2, 'splitter': 'best'}",5,4,14,1,"{'eo': 'fn', 'nl': 'fp', 'af': 'fp', 'tl': 'fp', 'es': 'fp'}",0.5555555555555556,0.8333333333333334,0.6666666666666667
73,"{'criterion': 'gini', 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'min_samples_split': 2, 'splitter': 'random'}",6,12,6,0,"{'nl': 'fp', 'is': 'fp', 'fr': 'fp', 'af': 'fp', 'vi': 'fp', 'oc': 'fp', 'en': 'fp', 'sv': 'fp', 'da': 'fp', 'id': 'fp', 'tl': 'fp', 'es': 'fp'}",0.3333333333333333,1.0,0.5
74,"{'criterion': 'gini', 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'min_samples_split': 5, 'splitter': 'best'}",5,4,14,1,"{'eo': 'fn', 'nl': 'fp', 'af': 'fp', 'tl': 'fp', 'es': 'fp'}",0.5555555555555556,0.8333333333333334,0.6666666666666667
75,"{'criterion': 'gini', 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'min_samples_split': 5, 'splitter': 'random'}",6,12,6,0,"{'nl': 'fp', 'is': 'fp', 'fr': 'fp', 'af': 'fp', 'vi': 'fp', 'oc': 'fp', 'en': 'fp', 'sv': 'fp', 'da': 'fp', 'id': 'fp', 'tl': 'fp', 'es': 'fp'}",0.3333333333333333,1.0,0.5
76,"{'criterion': 'gini', 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'min_samples_split': 7, 'splitter': 'best'}",5,4,14,1,"{'eo': 'fn', 'nl': 'fp', 'af': 'fp', 'tl': 'fp', 'es': 'fp'}",0.5555555555555556,0.8333333333333334,0.6666666666666667
77,"{'criterion': 'gini', 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'min_samples_split': 7, 'splitter': 'random'}",6,12,6,0,"{'nl': 'fp', 'is': 'fp', 'fr': 'fp', 'af': 'fp', 'vi': 'fp', 'oc': 'fp', 'en': 'fp', 'sv': 'fp', 'da': 'fp', 'id': 'fp', 'tl': 'fp', 'es': 'fp'}",0.3333333333333333,1.0,0.5
78,"{'criterion': 'gini', 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'min_samples_split': 10, 'splitter': 'best'}",5,4,14,1,"{'eo': 'fn', 'nl': 'fp', 'af': 'fp', 'tl': 'fp', 'es': 'fp'}",0.5555555555555556,0.8333333333333334,0.6666666666666667
79,"{'criterion': 'gini', 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'min_samples_split': 10, 'splitter': 'random'}",6,12,6,0,"{'nl': 'fp', 'is': 'fp', 'fr': 'fp', 'af': 'fp', 'vi': 'fp', 'oc': 'fp', 'en': 'fp', 'sv': 'fp', 'da': 'fp', 'id': 'fp', 'tl': 'fp', 'es': 'fp'}",0.3333333333333333,1.0,0.5
80,"{'criterion': 'gini', 'max_depth': None, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 2, 'splitter': 'best'}",3,4,14,3,"{'eo': 'fn', 'nl': 'fp', 'vo': 'fn', 'af': 'fp', 'lfn': 'fn', 'tl': 'fp', 'es': 'fp'}",0.42857142857142855,0.5,0.4615384615384615
81,"{'criterion': 'gini', 'max_depth': None, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 2, 'splitter': 'random'}",3,4,14,3,"{'eo': 'fn', 'vi': 'fp', 'oc': 'fp', 'ia': 'fn', 'da': 'fp', 'tl': 'fp', 'avk': 'fn'}",0.42857142857142855,0.5,0.4615384615384615
82,"{'criterion': 'gini', 'max_depth': None, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 5, 'splitter': 'best'}",4,4,14,2,"{'eo': 'fn', 'nl': 'fp', 'vo': 'fn', 'af': 'fp', 'tl': 'fp', 'es': 'fp'}",0.5,0.6666666666666666,0.5714285714285715
83,"{'criterion': 'gini', 'max_depth': None, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 5, 'splitter': 'random'}",4,4,14,2,"{'eo': 'fn', 'vi': 'fp', 'oc': 'fp', 'da': 'fp', 'tl': 'fp', 'avk': 'fn'}",0.5,0.6666666666666666,0.5714285714285715
84,"{'criterion': 'gini', 'max_depth': None, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 7, 'splitter': 'best'}",4,4,14,2,"{'eo': 'fn', 'nl': 'fp', 'vo': 'fn', 'af': 'fp', 'tl': 'fp', 'es': 'fp'}",0.5,0.6666666666666666,0.5714285714285715
85,"{'criterion': 'gini', 'max_depth': None, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 7, 'splitter': 'random'}",4,4,14,2,"{'eo': 'fn', 'vi': 'fp', 'oc': 'fp', 'da': 'fp', 'tl': 'fp', 'avk': 'fn'}",0.5,0.6666666666666666,0.5714285714285715
86,"{'criterion': 'gini', 'max_depth': None, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 10, 'splitter': 'best'}",5,4,14,1,"{'eo': 'fn', 'nl': 'fp', 'af': 'fp', 'tl': 'fp', 'es': 'fp'}",0.5555555555555556,0.8333333333333334,0.6666666666666667
